"fate","id","Spring","terrRug","humPop","fi","mooseHunt","wolfNeighbour","dogattack","artificial_area_total","killedWolves","sheepAttacks","IncAvg1998_2021","bearDensity"
"0","D-10-67",2011,0.192,1,0.28125,2.3,1,6,0.00654,28,8,234749.541666667,0.001345032
"0","G105-10",2011,0.252,0.641,0.260742,2.9,0,13,0.00393,65,0,NA,0.000415594
"0","D-11-31",2011,0.079,32,0.29541,3,0,9,0.00452,15,4,236626.333333333,0.001131634
"1","G10-07",2011,0.194,2.25,0.292969,3,1,26,0.00112,14,18,236247.916666667,0.003195241
"1","G106-11",2011,0.412,14.191,0.256958,3.4,2,4,0,0,0,NA,0
"0","D-11-17",2011,0.293,29.65,0.324219,2.3,2,9,0.00191,16,11,251975.083333333,0.000258149
"1","G4-07",2011,0.28,11.3,0.296875,3.2,4,7,0.00248,6,3,232725.375,5.77e-05
"1","G16-10",2011,0.171,5.873,0,3.2,3,9,0,4,0,NA,0.00045356
"0","G102-11",2011,0.207,1.833,0,3.2,1,9,0,42,3,233970.166666667,0.002639097
"0","D-10-30",2010,0.188,13.3,0.269531,2.6,1,42,0,12,17,241579.958333333,0.00273336
"0","D-10-33",2010,0.39,14.52,0.327393,2.6,2,2,0.00184,2,11,223990.041666667,0
"0","D-10-29",2010,0.224,2.75,0.227051,3.2,5,47,0,16,44,233516.125,0.000189792
"0","D-10-39",2010,0.161,19.514,0.311035,3.1,0,7,0.00357,1,3,244473.958333333,0
"0","D-10-25",2010,0.413,6.733,0.269531,3.6,3,21,0.0025,4,9,238039.5,9.87e-05
"1","G72-10",2010,0.194,5.673,0.269531,2.9,1,10,0.0028,12,0,NA,0.000462414
"1","M-06-06",2010,0.192,5.266,0.28125,3.4,3,47,0.00061,16,44,233516.125,0.000107413
"0","G12-08",2010,0.382,0.937,0.26709,2.9,1,7,0.00642,21,0,NA,0.000435606
"0","D-10-27",2010,0.288,22.66,0.290039,2.6,2,2,0.00134,2,11,223990.041666667,0
"1","G28-06",2010,0.272,21.04,0.260742,3.1,0,7,0.00039,6,3,232725.375,1.32e-06
"0","D-10-22",2010,0.212,14.733,0.219727,2.7,1,15,0.00027,12,10,240807.208333333,0.00169919
"0","D-10-20",2010,0.116,5.567,0.1875,2.3,0,12,0.00148,2,20,234002,0.003527424
"1","G33-09",2010,0.128,1.8,0.305908,2.3,1,6,0.00116,28,8,234749.541666667,0.001363212
"0","D-08-15",2009,0.311,64.786,0.269531,2.4,1,1,0.02441,0,13,257438.958333333,0
